regionbase,tax_sce,region_scenario,tb,prop,te,varphi,pe,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,prop2
US as Home,puretc,1,0.71975,1,0.71975,2,0.94764441,0.015920602,0.793578719,0.011395054,4.361190522,27.05852768,31.4197182,2.757837601,0.444893702,0.71735337,27.49963353,3.202731303,3.475190971,28.2169869,27.94452723,2.810673533,7.457758245,2.011718834,0.798954699,0.180975673,0.075182815,38.63009333,176.5431669,28.4466895,154.4505817,5.794514,26.48147503,-0.115728993,-0.718027831,-0.861196551,1.122309417,1.708631813,-0.737418318,0.961001901,1.463053232,-0.856271797,-1.875827805,0.102275287,2.608975558,-1.824209905,
US as Home,puretp,1,0.533375,1,0.533375,2,0.965495956,0.012273203,0.747011834,0.012273203,4.402076509,27.3122003,31.71427681,2.887887387,0.216838225,1.518332069,27.09121913,3.104725612,4.406219455,28.6095512,27.30805736,2.166750122,9.772956479,2.166750122,0,0.216838225,4.59E-17,38.63009333,176.5431669,26.37030393,156.5269672,5.794514,26.48147503,-0.076619244,-0.475375687,-0.861196973,2.409710554,1.471539876,-0.483745698,1.353566199,0.826583356,-0.561713189,-1.402163392,0.076524229,1.762584125,-1.145579792,
US as Home,EC_hybrid,1,0.7219375,1,2,2,1.050209031,0.015920602,0.793578719,0.011681323,0,28.48520397,28.48520397,2.594820981,0.401444872,0.674950394,24.81398772,2.996265853,3.269771375,25.48893812,25.21543259,2.810673533,7.486801333,2.062257724,0.748415809,0.174555915,0.066031785,38.63009333,176.5431669,28.4466895,154.4505817,5.794514,26.48147503,-1.493348267,0.706490819,0.181824551,-0.466142607,-0.333978599,0.689257969,-1.767046884,-1.266041407,-3.790786031,-2.170251819,0.093474887,9.721824508,-9.904254025,
US as Home,EP_hybrid,1,0.540806398,76.82555122,1.609381691,2,1.068575293,0.012495569,0.75043232,0.012495569,0,28.73320184,28.73320184,2.701901363,0.2056076,1.353319157,24.47237372,2.907508963,4.05522052,25.82569287,24.67798132,2.206007378,9.640822765,2.206007378,0,0.2056076,-6.38E-17,38.63009333,176.5431669,26.51598625,156.3812849,5.794514,26.48147503,-1.493348267,0.969214527,0.264553169,-0.403719348,-0.509060266,0.937255837,-1.430292126,-1.803492683,-3.542788163,-1.712772991,0.070558601,9.015028236,-9.327088184,
US as Home,PC_hybrid,1,0.722531858,0.996325821,0.722531858,2,0.945463607,0.013196277,0.793422122,0.011377059,4.356169452,27.02737501,31.38354446,2.756299814,0.269092111,0.718782871,27.63936966,3.025391925,3.475082685,28.35815254,27.90846178,2.329712598,7.46268736,2.008542007,0.321170591,0.180624772,0.029444846,38.63009333,176.5431669,28.03273073,154.8645404,5.794514,26.48147503,-0.120481706,-0.747515512,-0.861196519,1.234996969,1.598963425,-0.768570991,1.102167536,1.426987776,-0.892445539,-1.877517175,0.102842396,2.726501703,-1.893966477,0.511180094
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regionbase,tax_sce,region_scenario,varphi,pe,tb,prop,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,te,prop2
US as Home,EPC_hybrid,1,2,1.047904168,0.724763765,0.996767091,0.013359189,0.793448689,0.011664079,0,28.45392898,28.45392898,2.593632709,0.250930511,0.676070538,24.93329523,2.84456322,3.269703247,25.60936576,25.18422574,2.358473524,7.49068911,2.059213384,0.29926014,0.174246965,0.025772704,38.63009333,176.5431669,28.05804985,154.8392213,5.794514,26.48147503,-1.493348267,0.673681598,0.172153972,-0.430819715,-0.339410663,0.657982985,-1.646619235,-1.297248262,-3.822061015,-2.17171731,0.093993432,9.821978051,-9.966020803,2,0.500620068
US as Home,PC_hybrid,1,1,0.96528889,0.368721245,0.99522157,0.0142246,0.79344879,0.013148615,4.401604436,27.30927137,31.71087581,3.44648815,0.322512184,0.898379037,27.04349644,3.769000334,4.344867188,27.94187547,27.36600862,2.511255877,7.64942395,2.321298156,0.18995772,0.261013552,0.021576523,38.63009333,176.5431669,28.18791818,154.709353,5.794514,26.48147503,-0.077074981,-0.478203253,-0.861196966,1.213720138,1.565231655,-0.486674627,0.685890474,0.884534621,-0.565114191,-0.938793445,0.05419199,0.806593743,-0.656292239,0.368721245,0.45028126
