regionbase,tax_sce,region_scenario,tb,prop,te,varphi,pe,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,prop2,-175.3079902
World as Home,puretp,4,1.760795955,-175.3079902,1.760795955,2,0.263623293,0.112006444,0.99683911,0.112006444,16.52052824,0.051344259,16.5718725,15.84370196,0.005532769,0.385795936,0.336841839,15.84923473,16.2294979,0.722637775,0.342374608,0.074670962,0.678031966,0.074670962,0,0.005532769,0,214.5066667,0.66666666,181.8178098,1.079523515,32.176,0.099999999,-9.273600983,-0.028821486,-0.003098277,0.039648031,0.015433815,-0.048655741,0.622637775,0.242374608,-15.7041285,-0.204883843,0.500470021,8.49900051,-6.143088921,,
China as Home,puretp,5,0.583310066,-57.36303782,0.583310066,2,0.930073655,0.060699956,0.89660869,0.060699956,7.254959059,23.87211123,31.12707029,4.726551797,0.97456488,0.886864422,24.53908919,5.701116677,5.613416219,25.42595361,25.51365407,9.832604161,5.498994899,9.832604161,0,0.97456488,0,53.18623853,161.9870067,48.89187063,134.0053878,7.97793578,24.298051,-0.25836597,-0.850141418,-0.766924583,2.115736713,1.058039181,-0.88113477,2.430811612,1.21560207,-1.148919711,-6.623957416,0.085985726,2.612613531,-1.707750787,,
OECD and China as Home,puretp,6,0.755964576,-74.50700445,0.755964576,2,0.78102189,0.091552712,0.889957868,0.091552712,14.27108303,14.25297755,28.52406058,12.59914744,0.626451124,3.065755708,12.23270631,13.22559856,15.66490314,15.29846202,12.85915744,6.41897933,15.96281544,6.41897933,0,0.626451124,0,145.0609427,70.11238867,115.1895406,67.70779106,21.7591414,10.5168583,-1.667405588,-1.66529018,-0.499682894,1.201393817,0.624290148,-1.874780448,4.507558022,2.342299438,-3.751940419,-4.947132083,0.126780618,3.208496159,-1.96442026,,
US and EU as Home,puretp,7,0.547526061,-53.77682486,0.547526061,2,0.939576621,0.025470542,0.742986172,0.025470542,5.249654909,26.03602501,31.28567992,4.875614358,0.385668573,2.669401258,23.35499573,5.261282931,7.545015617,26.02439699,23.7406643,3.823525131,16.72071342,3.823525131,0,0.385668573,0,65.05764133,150.1155782,44.33638509,138.5608515,9.7586462,22.51733673,-0.161124127,-0.799106203,-0.832201282,2.248475524,1.23530323,-0.824133991,2.226678987,1.223328302,-0.990306082,-2.433521905,0.080384129,1.858120722,-1.186275238,,
US as Home,EC_hybrid,1,0.721912289,-71.05997887,2,2,1.050210211,0.015920602,0.793578719,0.011681425,0,28.48521997,28.48521997,2.594856169,0.401444421,0.674959547,24.81395984,2.996300589,3.269815716,25.48891938,25.21540426,2.810673533,7.486811742,2.062275682,0.748397852,0.174559802,0.066031015,38.63009333,176.5431669,28.4466895,154.4505817,5.794514,26.48147503,-1.493348267,0.706507628,0.181829541,-0.466149517,-0.333987484,0.689273974,-1.767065616,-1.266069742,-3.790770026,-2.170184275,0.093471833,9.72182451,-9.904171161,,
EU28 as Home,EC_hybrid,2,0.702032898,-69.06578979,2,2,0.984751955,0.017931574,0.744319382,0.013047675,0,31.10034574,31.10034574,1.749233813,0.515536941,0.600878054,28.23469694,2.264770754,2.350111867,28.83557499,28.75023388,3.384506733,6.335177172,2.462692024,0.921814709,0.218998767,0.085553015,26.427554,188.7456601,19.59679029,163.3004417,3.9641331,28.31184901,-0.31192706,-0.238025245,-0.204021813,0.015184058,0.372891175,-0.239856256,0.01785099,0.438385877,-1.175640256,-2.324427958,0.09660499,4.781782888,-4.115296922,,
OECD37 as Home,EC_hybrid,3,0.830388885,-81.92638855,2,2,1.072307891,0.049234334,0.819497854,0.035408534,0,24.49063991,24.49063991,5.935611042,0.849176787,1.307374422,16.39847766,6.78478783,7.242985465,17.70585208,17.24765444,6.070526467,15.49795148,4.365824101,1.704702366,0.344181807,0.140657062,91.87470067,123.2986398,69.1573995,113.7399399,13.7812051,18.49479597,-2.875165,0.870334481,0.107912388,-0.303891097,-0.160190458,0.840136909,-2.365901921,-1.247140556,-7.785361091,-5.479844676,0.104070388,8.075459624,-8.872320539,,
World as Home,EC_hybrid,4,0.870408045,-86.09861825,2,2,1.334199028,0.299999993,0.999067628,0.240739629,14.55433483,0.115507533,14.66984236,14.58128316,0.0224854,0.013607867,0.052465935,14.60376856,14.59489103,0.066073802,0.074951335,0.199999993,0.188155597,0.160493084,0.039506909,0.010919843,0.002794293,214.5066667,0.66666666,182.3306667,0.566666661,32.176,0.099999999,-9.732693047,0.01803668,0.000880802,-0.001926951,-0.001422722,0.015507533,-0.033926198,-0.025048665,-17.60615864,-0.240921407,0.089134866,9.0726421,-7.342846946,,
China as Home,EC_hybrid,5,0.748557953,-73.73392029,2,2,1.113070581,0.079651738,0.920722353,0.05976634,0,26.11520926,26.11520926,3.945719388,1.738777426,0.339741236,20.09097121,5.684496813,4.285460624,20.43071244,21.82974863,12.90254667,3.962163862,9.681370557,3.221176109,0.780072693,0.270280011,53.18623853,161.9870067,52.59145953,130.3057989,7.97793578,24.298051,-2.5075814,1.438275049,0.221069912,-0.416250742,-0.400647819,1.361963257,-2.564429557,-2.468303367,-6.160780743,-11.11720237,0.091633657,10.961675,-12.20514601,,
OECD and China as Home,EC_hybrid,6,0.93978299,-93.06589661,2,2,1.101496785,0.131400011,0.92389583,0.094594746,3.28090751,16.92643957,20.20734708,9.84832175,1.254579513,0.811236863,8.293208954,11.10290126,10.65955861,9.104445817,9.547788467,9.212768667,10.27735606,6.632263586,2.580505081,0.487360699,0.199113777,145.0609427,70.11238867,121.7488734,61.14845827,21.7591414,10.5168583,-5.337603293,0.838886922,0.066178182,-0.139738714,-0.080296406,0.79868157,-1.686458183,-0.969069533,-12.06865392,-9.593069679,0.113457953,8.336180191,-8.303246624,,
US and EU as Home,EC_hybrid,7,0.768572801,-76.01138163,2,2,1.030725651,0.033280434,0.792002901,0.024051345,0,27.269685,27.269685,4.29549422,0.727047716,1.128089727,21.11905334,5.022541936,5.423583948,22.24714306,21.84610105,4.995911533,12.66478159,3.610481528,1.385430006,0.300990771,0.120724981,65.05764133,150.1155782,48.04348937,134.8537472,9.7586462,22.51733673,-1.805275133,0.415801609,0.081802113,-0.309724672,-0.134078025,0.409525998,-1.550574937,-0.671234949,-5.006301002,-3.993224354,0.100597518,7.667696662,-7.722658726,,
US as Home,EP_hybrid,1,0.54072933,1.099766731,1.609307826,2,1.068578495,0.012495931,0.750437814,0.012495931,0,28.73324488,28.73324488,2.70204516,0.205622994,1.353285309,24.47229142,2.907668154,4.055330469,25.82557673,24.67791441,2.206071287,9.640610523,2.206071287,0,0.205622994,0,38.63009333,176.5431669,26.51622098,156.3810502,5.794514,26.48147503,-1.493348267,0.969260525,0.264568534,-0.403757037,-0.509085335,0.937298883,-1.430408271,-1.803559586,-3.542745117,-1.712565379,0.070549059,9.015028218,-9.326865339,,
EU28 as Home,EP_hybrid,2,0.493421473,1.126408044,1.491091067,2,0.997669594,0.014144239,0.695812597,0.014144239,0,31.30366301,31.30366301,1.849849288,0.268561432,1.208656011,27.97659628,2.11841072,3.058505299,29.18525229,28.24515771,2.669663683,8.038929015,2.669663683,0,0.268561432,-9.52E-17,26.427554,188.7456601,17.89954537,164.9976866,3.9641331,28.31184901,-0.31192706,-0.036496409,-0.037579069,0.377989917,-0.068588619,-0.036538993,0.367528288,-0.066690291,-0.972322993,-1.662101023,0.069062618,3.931614377,-3.426789031,,
OECD37 as Home,EP_hybrid,3,0.608200974,1.219369291,1.734434015,2,1.126233041,0.038428927,0.777968627,0.038428927,0,25.09888993,25.09888993,6.181466183,0.409779307,2.716897637,15.79074681,6.59124549,8.89836382,18.50764444,16.20052611,4.738234453,20.39906592,4.738234453,0,0.409779307,0,91.87470067,123.2986398,64.78178882,118.1155506,13.7812051,18.49479597,-2.875165,1.538898715,0.201806398,-0.217930243,-0.319664676,1.448386932,-1.564109558,-2.294268887,-7.177111068,-4.458401127,0.074934624,7.34583028,-8.277863877,,
World as Home,EP_hybrid,4,0.748334276,1.250348545,1.998682821,2,1.454968035,0.250437201,0.998804342,0.250437201,14.55477641,0.120622056,14.67539847,14.58607307,0.011366447,0.026441477,0.051517475,14.59743951,14.61251454,0.077958951,0.062883922,0.166958132,0.256476689,0.166958132,0,0.011366447,0,214.5066667,0.66666666,182.2545759,0.642757434,32.176,0.099999999,-9.732602694,0.025167079,0.001171668,-0.001252289,-0.002108796,0.020622056,-0.022041049,-0.037116078,-17.60060253,-0.240660454,0.071623813,9.070209941,-7.340098751,,
China as Home,EP_hybrid,5,0.596676104,1.687524811,1.714299708,2,1.117623604,0.062751364,0.899846691,0.062751364,0,26.16856697,26.16856697,4.187668631,0.889421976,0.714924653,20.37655171,5.077090606,4.902593284,21.09147636,21.26597369,10.16490556,5.326777782,10.16490556,1.80E-14,0.889421976,2.90E-16,53.18623853,161.9870067,49.32071136,133.5765471,7.97793578,24.298051,-2.5075814,1.497787379,0.231737832,-0.311697033,-0.496457884,1.41532097,-1.903665636,-3.032078313,-6.10742303,-9.216285322,0.07414428,10.88719714,-12.07897908,,
OECD and China as Home,EP_hybrid,6,0.758157791,1.129920335,1.888078125,2,1.169538358,0.100791002,0.899949751,0.100791002,3.214191356,17.44139562,20.65558697,10.15830939,0.549881622,1.861424643,8.08597132,10.70819101,12.01973403,9.947395963,8.635852941,7.066697892,14.51338347,7.066697892,0,0.549881622,1.31E-16,145.0609427,70.11238867,116.9721185,65.92521311,21.7591414,10.5168583,-5.340301698,1.423541061,0.113045681,-0.072588467,-0.161870744,1.313637617,-0.843508037,-1.881005059,-11.62041403,-8.546650006,0.08862077,7.97924492,-8.042179677,,
US and EU as Home,EP_hybrid,7,0.558604429,1.310262802,1.624708528,2,1.066104099,0.026040181,0.747297498,0.026040181,0,27.73373655,27.73373655,4.488566266,0.360898903,2.313127126,20.57114425,4.849465169,6.801693393,22.88427138,20.93204315,3.909036834,16.44022874,3.909036834,0,0.360898903,1.19E-16,65.05764133,150.1155782,44.64748202,138.2497546,9.7586462,22.51733673,-1.805275133,0.90229707,0.192322671,-0.201100057,-0.34901052,0.873577547,-0.913446622,-1.585292846,-4.542249453,-3.120988538,0.072868115,6.878399899,-7.085369623,,
US as Home,PC_hybrid,1,0.722531226,0.996315786,0.722531226,2,0.945463701,0.013196281,0.793421694,0.011377062,4.356169669,27.02737635,31.38354602,2.756299217,0.269092262,0.718787721,27.63936682,3.025391479,3.475086938,28.35815454,27.90845908,2.329713173,7.46270607,2.00854251,0.321170663,0.180624876,0.029444862,38.63009333,176.5431669,28.03271716,154.864554,5.794514,26.48147503,-0.120481501,-0.74751424,-0.861196519,1.23500138,1.598963208,-0.768569646,1.102169544,1.426985085,-0.892443977,-1.877515662,0.102842306,2.726501676,-1.893958417,0.511180367,
EU28 as Home,PC_hybrid,2,0.704521275,0.998707184,0.704521275,2,0.962737019,0.014945753,0.744256981,0.012963219,0.918180663,30.75074395,31.66892461,1.769572085,0.322809776,0.608396135,28.96814661,2.092381861,2.37796822,29.57654275,29.29095639,2.820946001,6.330588548,2.446751376,0.374194624,0.220129483,0.034294727,26.427554,188.7456601,19.11636193,163.78087,3.9641331,28.31184901,-0.017271555,-0.578440816,-0.971002378,1.249986844,1.612865534,-0.589458052,0.75881875,0.979108391,-0.607061389,-2.258340189,0.098911163,2.70889009,-1.885264967,0.505945658,
OECD37 as Home,PC_hybrid,3,0.825048957,0.99240878,0.825048957,2,0.84925654,0.039717846,0.819164992,0.033312202,7.94883492,21.79514847,29.74398339,6.742545364,0.594725754,1.494041385,20.91267088,7.337271118,8.236586749,22.40671227,21.50739664,4.897156386,15.3908623,4.107349149,0.789807238,0.367974885,0.07244415,91.87470067,123.2986398,68.13404061,114.7632988,13.7812051,18.49479597,-0.624964987,-1.71361021,-0.732757357,0.922172995,1.189802796,-1.855354534,2.334958267,3.012601636,-2.532017615,-4.093389367,0.1271897,3.291513908,-2.220379169,0.5322823,
World as Home,PC_hybrid,4,1.751012249,0.45438729,1.751012249,2,0.257636081,0.144577749,0.998627175,0.111105392,16.33184997,0.050757864,16.38260783,15.99674144,0.011901206,0.041937838,0.332027347,16.00864265,16.03867928,0.373965184,0.343928552,0.096385165,0.261112843,0.074070261,0.022314904,0.005531351,0.001733316,214.5066667,0.66666666,182.1622859,0.735047414,32.176,0.099999999,-9.322775062,-0.028974314,-0.003098277,0.017237677,0.015347796,-0.049242136,0.273965184,0.243928552,-15.89339317,-0.201729659,0.504820174,8.774945068,-6.043609441,0.453356257,
China as Home,PC_hybrid,5,0.755513611,0.98534429,0.755513611,2,0.914026146,0.06584018,0.920430437,0.056863641,7.192098124,23.6652702,30.85736832,4.398298927,1.243030457,0.382763598,24.83327534,5.641329384,4.781062525,25.21603894,26.0763058,10.66525368,3.947060816,9.211170945,1.45408273,0.82757876,0.133284866,53.18623853,161.9870067,50.6765635,132.2206949,7.97793578,24.298051,-0.316326157,-1.040856763,-0.766924557,1.565531512,1.253508125,-1.087975801,2.220896939,1.778253798,-1.418621677,-8.638767953,0.110309719,3.178748958,-2.155794802,0.506322365,
OECD and China as Home,PC_hybrid,6,0.989009383,0.990544953,0.989009383,2,0.706922482,0.102075742,0.923662243,0.082135723,13.57723162,13.56000642,27.13723804,11.85076933,0.943225507,0.984858907,13.35838429,12.79399484,12.83562824,14.3432432,14.3016098,7.156774096,10.10880191,5.758731767,1.398042329,0.509342257,0.127550341,145.0609427,70.11238867,119.9724762,62.92485539,21.7591414,10.5168583,-2.18339824,-2.1806282,-0.499682822,0.691282946,0.73651029,-2.567751582,3.552339199,3.7847518,-5.138762964,-6.411459288,0.173454854,4.289551365,-2.795420235,0.563997506,
US and EU as Home,PC_hybrid,7,0.768579286,0.998091691,0.768579286,2,0.901060528,0.027253203,0.791916023,0.023225313,5.140929372,25.49679322,30.63772259,4.62856014,0.483128575,1.217270482,24.3087634,5.111688715,5.845830622,25.52603388,24.79189197,4.091130302,12.60366919,3.486481226,0.604649076,0.313224553,0.05548042,65.05764133,150.1155782,47.26962108,135.6276155,9.7586462,22.51733673,-0.261178955,-1.295335011,-0.832201814,1.054968251,1.388394543,-1.363365778,1.728315879,2.274555973,-1.638263406,-3.345461272,0.113432563,2.989838534,-2.046505869,0.519712917,
US as Home,EPC_hybrid,1,0.724763765,0.996767091,2,2,1.047904168,0.013359189,0.793448689,0.011664079,0,28.45392898,28.45392898,2.593632709,0.250930508,0.676070538,24.93329523,2.844563217,3.269703247,25.60936577,25.18422574,2.358473513,7.49068911,2.059213384,0.299260129,0.174246965,0.025772703,38.63009333,176.5431669,28.05804984,154.8392213,5.794514,26.46359333,-1.493348267,0.673681597,0.172153972,-0.430819714,-0.339410663,0.657982984,-1.646619233,-1.297248263,-3.822061016,-2.17171731,0.093993432,9.821978051,-9.966020805,0.500620068,
EU28 as Home,EPC_hybrid,2,0.704882351,0.998412474,2,2,0.9822351,0.01498181,0.744243614,0.013026396,0,31.06057678,31.06057678,1.748710941,0.318460828,0.601336476,28.39206853,2.067171768,2.350047416,28.99340501,28.71052936,2.827751598,6.335817139,2.458675711,0.369075888,0.218598507,0.033416533,26.427554,188.7456601,19.12184641,163.7753855,3.9641331,28.28931052,-0.31192706,-0.277137756,-0.230066728,0.144544739,0.328022326,-0.279625223,0.175681008,0.398681361,-1.215409223,-2.32555364,0.097183378,4.968998319,-4.229047431,0.503917417,
OECD37 as Home,EPC_hybrid,3,0.83864964,0.9970554,2,2,1.065062412,0.040801223,0.819382621,0.035258969,0,24.40775924,24.40775924,5.931611314,0.510463036,1.309209669,16.65647522,6.44207435,7.240820983,17.96568489,17.16693826,5.030735268,15.49943252,4.34738293,0.683352338,0.342545207,0.054902407,91.87470067,123.2986398,68.26457803,114.6327614,13.7812051,18.45076761,-2.875165,0.781761312,0.096242117,-0.267667056,-0.168761558,0.757256242,-2.106069109,-1.327856741,-7.868241758,-5.486007934,0.10563581,8.188005231,-8.940196022,0.507275231,
World as Home,EPC_hybrid,4,0.932486574,0.983302975,2,2,1.27213309,0.258255949,0.999063659,0.235553524,14.55478262,0.112788878,14.66757149,14.58114195,0.014359508,0.013762922,0.05830711,14.59550146,14.59490488,0.072070033,0.072666618,0.172170631,0.188232038,0.157035681,0.015134949,0.010684542,0.001045817,214.5066667,0.66666666,182.3062879,0.591045394,32.176,0.099060174,-9.732601424,0.014494154,0.000726293,-0.00158617,-0.00155229,0.012788878,-0.027929967,-0.027333382,-17.60842951,-0.240923925,0.099059762,9.074102,-7.343504341,0.435521836,
China as Home,EPC_hybrid,5,0.761699949,0.995169647,2,2,1.100714368,0.067262959,0.920635704,0.059376923,0,25.96985206,25.96985206,3.943683452,1.0955417,0.340642021,20.58998488,5.039225152,4.284325474,20.9306269,21.68552658,10.89572541,3.962874706,9.618290098,1.277435308,0.774663029,0.104650368,53.18623853,161.9870067,50.88174421,132.0155142,7.97793578,24.22162587,-2.5075814,1.277381094,0.192924111,-0.327381848,-0.414282948,1.216606057,-2.064515095,-2.612525417,-6.306137943,-11.12734096,0.094039402,11.29868929,-12.41472872,0.486526491,
OECD and China as Home,EPC_hybrid,6,0.961702664,0.99773532,2,2,1.080235975,0.108272452,0.923850796,0.093581483,3.306987068,16.76228871,20.06927577,9.844664145,0.730694264,0.812321417,8.681595947,10.57535841,10.65698556,9.493917364,9.412290211,7.591240225,10.26683282,6.561221292,1.030018933,0.481984706,0.077253197,145.0609427,70.11238867,120.3650215,62.53231017,21.7591414,10.44580714,-5.336518154,0.659823097,0.051982059,-0.106251809,-0.090488462,0.634530706,-1.296986636,-1.104567789,-12.20672523,-9.599139647,0.117808424,8.469395273,-8.360394728,0.502834037,
US and EU as Home,EPC_hybrid,7,0.773815813,0.998745556,2,2,1.0259287,0.027679297,0.791949571,0.023982253,0,27.20615505,27.20615505,4.294140428,0.442571387,1.128708081,21.34073515,4.736711815,5.422848508,22.46944323,21.78330654,4.155093703,12.66295368,3.600109729,0.554983974,0.300051733,0.047136817,65.05764133,150.1155782,47.32584512,135.5713915,9.7586462,22.48244815,-1.805275133,0.350472095,0.068246072,-0.261995869,-0.144783814,0.345996049,-1.328274766,-0.734029459,-5.069830951,-3.995452835,0.10163946,7.789575476,-7.79608349,0.505889594,
